partition,variable,active_samples,num_events,activation_ratio,entropy,mean_run_length,max_run_length,mean_gap_between_events
val,no_frena_motor_principal,10027,6,0.04176002665445004,0.25030445517794075,1671.1666666666667,6934.0,2054.8
val,no_frena_volteador_cazo,23297,24,0.09702636291699637,0.45949788049407286,970.7083333333334,12413.0,4914.347826086957
val,no_hay_aceite_1,240110,1,1.0,0.0,240110.0,240110.0,
val,no_hay_aceite_2,240110,1,1.0,0.0,240110.0,240110.0,
val,no_hay_aire,23274,24,0.09693057348715173,0.45918953201330737,969.75,12413.0,4914.434782608696
val,no_hay_artesa,42,4,0.00017491982841197785,0.002435511518323783,10.5,16.0,61376.333333333336
val,no_hay_masas,0,0,0.0,0.0,0.0,0.0,
val,no_ingrediente,582,93,0.002423889050851693,0.024552555764743023,6.258064516129032,56.0,2600.25
val,no_vacia,4,1,1.6659031277331224e-05,0.0002884681019180098,4.0,4.0,
val,orden_dosificacion_sal,144820,69,0.6031402273957769,0.969084014643034,2098.840579710145,9167.0,3453.073529411765
val,paro_motor_amasado,51215,793,0.21329807171712964,0.747739767949956,64.58385876418663,11619.0,302.93560606060606
val,peticion_aceite,4461,773,0.018578984632043646,0.13338584874955817,5.771021992238033,16.0,310.72668393782385
val,peticion_harina,21063,328,0.0877222939486069,0.4288210856666046,64.21646341463415,345.0,675.480122324159
val,peticion_levadura,17611,773,0.07334554995627005,0.3782863496683337,22.782664941785253,36.0,310.55440414507774
val,peticion_liquido,63837,61,0.26586564491274833,0.8354693371475894,1046.5081967213114,11783.0,3458.016666666667
val,peticion_polvo,0,0,0.0,0.0,0.0,0.0,
val,peticion_sal,0,0,0.0,0.0,0.0,0.0,
val,puertas_abierta,72993,777,0.3039981675065595,0.8861234575941247,93.94208494208495,12934.0,308.97809278350513
val,rele_peticion_aceite_2,0,0,0.0,0.0,0.0,0.0,
val,rele_peticion_aceite_3,0,0,0.0,0.0,0.0,0.0,
val,rele_peticion_harina_1,24067,422,0.10023322643788264,0.46973446823565046,57.03080568720379,191.0,569.7957244655582
val,rele_peticion_harina_2,3017,25,0.012565074340927075,0.09735457339608371,120.68,325.0,217.70833333333334
val,rele_peticion_harina_3,0,0,0.0,0.0,0.0,0.0,
val,rele_peticion_salvado,10103,419,0.042076548248719335,0.2517333920556305,24.112171837708832,112.0,528.4497607655502
val,sal_descarga_1,144846,60,0.6032485110990796,0.9690185906618966,2414.1,7657.0,4002.1525423728813
val,sal_descarga_2,145148,243,0.6045062679605181,0.9682534859064376,597.3168724279835,3060.0,985.2851239669421
val,seg_sobre_volteo,0,0,0.0,0.0,0.0,0.0,
val,seguridad_artesa_en_posicion,0,0,0.0,0.0,0.0,0.0,
val,seguridad_final_carrera_superior_elevador_artesa,0,0,0.0,0.0,0.0,0.0,
val,siguiente_ingrediente,0,0,0.0,0.0,0.0,0.0,
val,siguiente_ingrediente_1,0,0,0.0,0.0,0.0,0.0,
val,siguiente_ingrediente_2,0,0,0.0,0.0,0.0,0.0,
val,silo_1_harina,69550,11,0.2896589063345966,0.8682802254013454,6322.727272727273,11547.0,21114.2
val,silo_2_harina,70178,7,0.29227437424513764,0.8716411115807743,10025.42857142857,17012.0,37759.666666666664
val,silo_3_harina,5277,1,0.021977427012619215,0.15240374104004206,5277.0,5277.0,
val,sobre_carga_bascula_2,0,0,0.0,0.0,0.0,0.0,
